run_id,dataset,evaluation_scope,model,hybrid_strategy,proposal_conf,proposal_iou,max_proposals,frcnn_batch_size,agreement_iou,unmatched_frcnn_score_thresh,unmatched_yolo_score_thresh,score_fusion,final_score_thresh,final_nms_iou,stage_yolo_s,stage_crop_s,stage_frcnn_s,stage_post_s,stage_total_s,mAP@0.5,mAP@0.5:0.95,mean_inf_time_s,fps,false_positives,false_negatives,speedup_vs_frcnn
voc100_agreement_default,VOC 2012,100-image validation subset,yolo,,,,,,,,,,,,0.024054251359998488,0.0,0.0,0.0,0.024054251359998488,0.7303368449211121,0.5632873177528381,0.024054251359998488,41.57269270341835,6523,16,5.8206700688621895
voc100_agreement_default,VOC 2012,100-image validation subset,frcnn,,,,,,,,,,,,0.0,0.0,0.14001186092003082,0.0,0.14001186092003082,0.8808928728103638,0.682134747505188,0.14001186092003082,7.142252045140376,1305,4,1.0
voc100_agreement_default,VOC 2012,100-image validation subset,hybrid,agreement_fusion,0.1,0.7,50,,0.5,0.6,0.55,weighted_sum,0.25,0.5,0.014300672740009759,0.0,0.13677391572000488,0.0002291236100199967,0.15130371207003462,0.8474690318107605,0.6849425435066223,0.15130371207003462,6.609223173170567,175,18,0.9253696357114022
voc50_crop_refine_baseline,VOC 2012,50-image validation subset,yolo,,,,,,,,,,,,0.03319982548002372,0.0,0.0,0.0,0.03319982548002372,0.7645503878593445,0.6110150814056396,0.03319982548002372,30.1206402606453,3462,11,4.297890133366099
voc50_crop_refine_baseline,VOC 2012,50-image validation subset,frcnn,,,,,,,,,,,,0.0,0.0,0.14268920236007035,0.0,0.14268920236007035,0.9198179841041565,0.7513105869293213,0.14268920236007035,7.008238769718125,592,1,1.0
voc50_crop_refine_baseline,VOC 2012,50-image validation subset,hybrid,crop_refine,0.1,0.7,15,1,,,,,0.25,0.5,0.015812672959991687,0.00020998750002945599,0.5556947724599468,0.00037000840004111526,0.572087441320009,0.7867934703826904,0.6155247092247009,0.572087441320009,1.7479845348337741,486,9,0.24941851901316983
voc100_agreement_variant_b,VOC 2012,100-image validation subset,yolo,,,,,,,,,,,,0.023328013359996475,0.0,0.0,0.0,0.023328013359996475,0.7303368449211121,0.5632873177528381,0.023328013359996475,42.86691646511262,6523,16,6.35295647610306
voc100_agreement_variant_b,VOC 2012,100-image validation subset,frcnn,,,,,,,,,,,,0.0,0.0,0.1482018535500083,0.0,0.1482018535500083,0.8808928728103638,0.682134747505188,0.1482018535500083,6.747553934354581,1305,4,1.0
voc100_agreement_variant_b,VOC 2012,100-image validation subset,hybrid,agreement_fusion,0.05,0.7,100,,0.45,0.55,0.6,frcnn,0.2,0.5,0.014019904649999262,0.0,0.1444183358700093,0.00022551637999185915,0.1586637569000004,0.8599088191986084,0.6873204112052917,0.1586637569000004,6.302636591608386,226,15,0.9340624251284695
voc100_agreement_variant_c,VOC 2012,100-image validation subset,yolo,,,,,,,,,,,,0.023157336469944313,0.0,0.0,0.0,0.023157336469944313,0.7303368449211121,0.5632873177528381,0.023157336469944313,43.18285919012709,6523,16,6.493801028248138
voc100_agreement_variant_c,VOC 2012,100-image validation subset,frcnn,,,,,,,,,,,,0.0,0.0,0.1503791353800125,0.0,0.1503791353800125,0.8808928728103638,0.682134747505188,0.1503791353800125,6.649858688660303,1305,4,1.0
voc100_agreement_variant_c,VOC 2012,100-image validation subset,hybrid,agreement_fusion,0.1,0.7,50,,0.55,0.65,0.65,max,0.25,0.5,0.014323581290009315,0.0,0.14733380098998622,0.00023375862999273523,0.16189114090998827,0.8581690192222595,0.6861410737037659,0.16189114090998827,6.1769902564094075,159,18,0.9288904540096085
